Book-Title,Book-Author,Year-Of-Publication,Book-Rating,Image-URL-L
Flesh Tones: A Novel,M. J. Rose,2002,0,http://images.amazon.com/images/P/034545104X.01.LZZZZZZZ.jpg
The Notebook,Nicholas Sparks,1996,0,http://images.amazon.com/images/P/0446520802.01.LZZZZZZZ.jpg
A Painted House,JOHN GRISHAM,2001,7,http://images.amazon.com/images/P/038550120X.01.LZZZZZZZ.jpg
Lightning,Dean R. Koontz,1996,0,http://images.amazon.com/images/P/0425115801.01.LZZZZZZZ.jpg
Manhattan Hunt Club,JOHN SAUL,2002,0,http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg
Dark Paradise,TAMI HOAG,1994,0,http://images.amazon.com/images/P/0553561618.01.LZZZZZZZ.jpg
Night Sins,TAMI HOAG,1995,0,http://images.amazon.com/images/P/055356451X.01.LZZZZZZZ.jpg
Little Altars Everywhere,Rebecca Wells,2003,9,http://images.amazon.com/images/P/0060517794.01.LZZZZZZZ.jpg
How Stella Got Her Groove Back,Terry McMillan,1997,0,http://images.amazon.com/images/P/0451192001.01.LZZZZZZZ.jpg
The Law of Love,Laura Esquivel,1997,0,http://images.amazon.com/images/P/0609801279.01.LZZZZZZZ.jpg
Waiting to Exhale,Terry McMillan,1995,9,http://images.amazon.com/images/P/0671537458.01.LZZZZZZZ.jpg
The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,8,http://images.amazon.com/images/P/0684867621.01.LZZZZZZZ.jpg
The Pillars of the Earth,Ken Follett,1996,5,http://images.amazon.com/images/P/0451166892.01.LZZZZZZZ.jpg
The Dark Half,Stephen King,1994,0,http://images.amazon.com/images/P/0451167317.01.LZZZZZZZ.jpg
"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,8,http://images.amazon.com/images/P/0345443683.01.LZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,7,http://images.amazon.com/images/P/043935806X.01.LZZZZZZZ.jpg
